highrisk,id,name
False,38-0006878,Alist
False,73-0008665,Beans Limited
False,20-0007897,Quicker Company
False,22-0001596,Warst Ltd
False,33-0003084,Quicker
False,50-0003466,Quicker
False,60-0007291,Vitae Consulting
False,02-0001969,Linger Ltd
False,46-0009097,FlyHigh Consulting
False,77-0008947,Adapt
False,37-0003810,QuickLink Ltd
False,75-0004158,Datastore LLC
False,86-0002634,SuperMemo Company
False,13-0009542,Hostes
False,44-0006804,Beans
False,11-0004094,Linger Limited
False,87-0000671,Beans
False,05-0002537,Nonos Associates
False,01-0009929,Linger
False,32-0005315,Robutenia
False,86-0005593,Furba
False,95-0004787,Robutenia Associates
False,73-0005158,Vitae
False,39-0003047,Gualas
False,24-0001006,Woods
False,03-0007034,Nonos Company
False,26-0009156,Furba
False,35-0004484,Yrsa Inc.
False,83-0002811,Felics
False,22-0001930,Woods Consulting
False,32-0004905,Nonos
False,33-0000536,Woods
False,62-0001927,Datastore Limited
False,88-0007634,Beans Industries
False,88-0005236,Hostes
False,77-0007160,Terson Limited
False,71-0002979,Buapel
False,71-0009683,Adapt
False,37-0007461,Morsem
False,81-0007780,Beans Associates
False,60-0006402,MemorTech Limited
False,01-0008226,Vitae Industries
False,67-0004275,Felics
False,38-0004657,QuickLink Limited
False,36-0003122,SuperMemo
False,78-0004461,SuperMemo Ltd
False,30-0004374,Warst Ltd
False,92-0009539,Furba Consulting
False,23-0001300,Erntogra Ltd
False,46-0003315,MemorTech
False,88-0006065,Porta
False,12-0006390,Furba
False,81-0006955,Vitae Consulting
False,15-0005801,QuickLink Industries
False,12-0003470,QuickLink
False,27-0009052,MemorTech
False,68-0002127,Linger
False,67-0005319,Morsem
False,21-0004982,Klein
False,54-0009845,Porta
False,23-0000740,Nonos
False,95-0004922,Morsem
False,48-0009385,FlyHigh Limited
False,57-0000765,Datastore Ltd
False,65-0006701,Quicker LLC
False,82-0005414,Furba
False,53-0007695,Adapt Industries
False,54-0007445,Klein
False,60-0009397,Klein Limited
False,25-0007750,Adapt
False,60-0001275,Woods Ltd
False,73-0000401,Porta
False,10-0008898,FlyHigh
False,37-0008104,MemorTech Limited
False,54-0009003,Porta Consulting
False,60-0005932,Linger
False,34-0001717,QuickLink Ltd
False,43-0009415,Porta Associates
False,68-0002686,Alist
False,74-0001642,MemorTech
False,66-0007469,Beans Company
False,48-0002546,Vitae Inc.
False,73-0004267,Woods Consulting
False,58-0009563,Porta
False,55-0001725,Gualas
False,57-0000521,SuperMemo
False,66-0005553,Porta
False,85-0005396,Datastore Consulting
False,82-0000516,Gualas
False,04-0007486,Erntogra Associates
False,65-0002200,Interdem
False,06-0003183,MemorTech Consulting
False,74-0007437,QuickLink Associates
False,67-0001182,Gualas
False,35-0009530,Woods
False,55-0004669,Furba
False,67-0004993,Beans Associates
False,10-0005302,Quisuc Associates
False,80-0005355,MemorTech
False,52-0006984,FlyHigh Company
False,14-0002609,Warst
False,90-0009258,Klein Consulting
False,65-0008262,Adapt LLC
False,40-0006554,Hostes Limited
False,05-0002254,Felics Associates
False,21-0009964,Terson Associates
False,46-0000422,Datastore
False,91-0000189,Datastore
False,06-0008897,QuickLink Industries
False,73-0008823,Interdem
False,24-0006620,Quisuc LLC
False,57-0007688,Klein Limited
False,53-0001405,Interdem Consulting
False,25-0007965,Yrsa
False,91-0008858,Datastore
False,21-0006428,Linger Inc.
False,66-0001091,Woods Consulting
False,55-0000024,Quisuc
False,42-0009743,SuperMemo Ltd
False,16-0005074,Furba
False,42-0007516,SuperMemo Company
False,51-0004905,Interdem
False,93-0009000,Buapel Ltd
False,68-0005180,FlyHigh Consulting
False,78-0004132,Adapt
False,75-0007305,Buapel
False,92-0002962,SuperMemo
False,63-0005491,Interdem Limited
False,04-0003477,Alist Limited
False,15-0005658,Woods
False,45-0004791,Datastore
False,26-0008628,Felics Inc.
False,75-0007373,Nonos
False,88-0006166,Quicker Limited
False,78-0003279,Erntogra Company
False,98-0008457,Gualas Inc.
False,64-0006762,QuickLink
False,95-0005354,FlyHigh Inc.
False,42-0000386,Felics
False,57-0001027,Vitae LLC
False,36-0001881,Felics
False,74-0001092,Adapt Company
False,63-0003577,Adapt Ltd
False,21-0003674,Linger
False,01-0003145,Klein
False,94-0007458,QuickLink
False,00-0001595,Erntogra
False,45-0005091,Quisuc
False,31-0002479,Warst
False,55-0008547,Quicker Inc.
False,92-0006284,Buapel
False,22-0001184,SuperMemo Consulting
False,04-0004198,Buapel
False,57-0009870,Vitae
False,37-0003891,Quisuc
False,48-0007043,QuickLink Company
False,88-0006466,Buapel
False,86-0002889,Gualas Associates
False,04-0002235,Furba Inc.
False,56-0001186,Adapt
False,90-0001839,Terson Limited
False,65-0005974,Robutenia LLC
False,81-0006108,Yrsa LLC
False,39-0001904,Klein
False,15-0005430,Terson
False,73-0005187,Yrsa Associates
False,38-0009886,Morsem Inc.
False,55-0007408,Furba Associates
False,82-0001114,Hostes
False,20-0003287,Robutenia
False,15-0006979,Felics LLC
False,94-0009135,Morsem Limited
False,32-0008149,Gualas Inc.
False,62-0004079,Robutenia Ltd
False,48-0008509,Morsem
False,04-0008985,Felics
False,67-0004171,Beans
False,72-0003711,Buapel LLC
False,22-0009386,MemorTech
False,00-0008486,Nonos LLC
False,21-0009403,Warst
False,16-0008530,Robutenia
False,04-0005126,FlyHigh
False,11-0007970,Quicker Industries
False,63-0007461,Buapel
False,67-0009147,Warst
False,99-0008117,Porta
False,91-0008263,Beans
False,55-0004562,Beans
False,67-0005508,Hostes LLC
False,37-0004362,Datastore
False,73-0007248,Vitae
False,59-0004702,Interdem
False,02-0007128,FlyHigh
False,92-0007800,Alist
False,00-0008284,MemorTech Consulting
False,78-0000125,Robutenia Inc.
False,83-0006795,Woods Ltd
False,26-0008336,Buapel Inc.
False,71-0000910,Erntogra Associates
False,67-0000820,Interdem
False,36-0007440,MemorTech Company
False,39-0002493,Vitae
False,44-0003238,SuperMemo
False,20-0005822,Beans
False,20-0002541,Felics
False,67-0009915,Porta Limited
False,91-0004331,Porta Limited
False,23-0006340,Furba
False,04-0001519,Robutenia Company
False,82-0003572,QuickLink
False,94-0000672,Alist
False,63-0002762,Buapel
False,87-0008546,Felics
False,58-0001746,Nonos Ltd
False,68-0005312,Nonos
False,52-0005382,Linger Industries
True,23-0008218,Datastore
False,68-0008290,QuickLink
False,95-0005893,Woods Industries
False,77-0006228,Porta
False,60-0008058,Vitae
False,34-0001720,MemorTech Inc.
False,57-0008866,MemorTech
False,24-0006764,Klein Associates
True,84-0007307,QuickLink
False,63-0001625,Gualas
